"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Date/Time: Posted date/time of the transaction"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of 1 Jan 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"7 May 2026 8:31:18 am UTC","27084782842","Order","171-0856896-1757916","IG-ONBR-37FB","Vats Institution/Hospital Pack 1000 Glucometer Round Lancets,Blue | Dr. Morepen Supported Glucometer Round Blood Lancet 1000 Pcs Blue Colour","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Mumbai","MAHARASHTRA","400097","449.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","423.04","Released","18 May 2026 5:04:51 pm UTC"
"7 May 2026 8:31:20 am UTC","27129830212","Order","405-2568125-7831535","6C-3XIL-OAL4","DIIOOMIEEU Blood Pressure Inflation Latex Bulb with Twist Air Release for","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Bhothiya","CHHATTISGARH","495690","188.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","186.82","Released","22 May 2026 4:20:58 pm UTC"
"7 May 2026 8:31:21 am UTC","27084782842","Order","406-8693144-6760308","QG-YMXG-BWXK","VATS Original Diamond Regular BP Cuff with Bladder, Bulb & Valve | Silicone tubing and Bladder | Standard Size Arm Cuff for Manual Sphygmomanometer |","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","KOLLAM","KERALA","691333","1,098.00","0","0","-43.92","0","0","0","0","0","0","0","0","0","1,054.08","Released","20 May 2026 5:45:28 pm UTC"
"7 May 2026 8:31:25 am UTC","27084781812","Order","403-2737308-2993113","3T-JRIS-MPXU","KooingTech Pressure Bulb Pump, Latex Blood Pressure Bulb, Black Squeeze Bulb Pump for Manually Inflating Blood Pressure Replacement Parts","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MUMBAI","MAHARASHTRA","400097","183.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","181.82","Released","18 May 2026 6:18:07 pm UTC"
"7 May 2026 8:31:43 am UTC","27084782842","Shipping Services","407-4272196-2949153","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","20 May 2026 10:20:19 am UTC"
"7 May 2026 8:31:43 am UTC","27084782842","Order","402-0446464-1643520","YR-QF1H-KY1O","Diamond Deluxe BP Cuff with Bladder, Bulb and Valve for Aneroid/Mercurial Sphygmomanometer, Adult, 300 grams","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","PATNA","BIHAR","800013","739.00","0","0","-29.56","0","0","0","0","0","0","0","-53.10","0","656.34","Released","19 May 2026 6:29:25 am UTC"
"7 May 2026 8:31:44 am UTC","27084782842","Order","403-9562065-7560322","OB-SK2N-S8TT","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","ANAPARTHY","ANDHRA PRADESH","533342","187.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","185.82","Released","20 May 2026 6:39:56 am UTC"
"7 May 2026 8:31:55 am UTC","27129776332","Order","408-2814452-2689129","OB-SK2N-S8TT","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","LUNGLEI","MIZORAM","796701","187.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","185.82","Released","23 May 2026 7:10:57 am UTC"
"7 May 2026 8:31:58 am UTC","27084782842","Order","404-7407188-0348363","QG-YMXG-BWXK","VATS Original Diamond Regular BP Cuff with Bladder, Bulb & Valve | Silicone tubing and Bladder | Standard Size Arm Cuff for Manual Sphygmomanometer |","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Wyra,khammam district","Telangana","507165","549.00","0","0","-21.96","0","0","0","0","0","0","0","0","0","527.04","Released","20 May 2026 4:25:25 am UTC"
"7 May 2026 8:31:58 am UTC","27084781812","Shipping Services","403-2737308-2993113","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","18 May 2026 4:59:14 pm UTC"
"7 May 2026 8:32:01 am UTC","27084781812","Order","403-2533488-9705163","YR-QF1H-KY1O","Diamond Deluxe BP Cuff with Bladder, Bulb and Valve for Aneroid/Mercurial Sphygmomanometer, Adult, 300 grams","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","KOHIMA","NAGALAND","797001","739.00","0","0","0","0","0","0","0","0","0","0","-53.10","0","685.90","Released","21 May 2026 4:05:32 am UTC"
"7 May 2026 8:32:18 am UTC","27084782842","Order","404-9674042-5877947","B4-0MXK-FSI8","Sphygmomanometer BP Monitor Arm Cuff Rubber Bladder, Double Tube, Black, Adult, Corded Electric","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BHIMTAAL","UTTARAKHAND","263136","229.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","227.82","Released","18 May 2026 5:28:47 am UTC"
"7 May 2026 8:32:20 am UTC","27129830212","Shipping Services","405-2568125-7831535","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","22 May 2026 7:24:47 pm UTC"
"7 May 2026 8:32:21 am UTC","27084782842","Shipping Services","402-0446464-1643520","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","19 May 2026 6:25:37 am UTC"
"7 May 2026 8:32:26 am UTC","27084782842","Shipping Services","406-8693144-6760308","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-110.92","0","-110.92","Released","20 May 2026 7:21:44 pm UTC"
"7 May 2026 8:32:26 am UTC","27084782842","Shipping Services","171-0856896-1757916","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","18 May 2026 5:14:17 pm UTC"
"7 May 2026 8:32:32 am UTC","27129830212","Order","408-1358364-9204369","JR-EFPC-8UTV","Quacc Curved Fishing Forceps Piercing Pliers Stainless Steel Fishing Hemostats for Nurses, Fishing Enthusiasts, Crafts","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","GHATAL","WEST BENGAL","721212","279.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","277.82","Released","25 May 2026 2:43:11 pm UTC"
"7 May 2026 8:32:40 am UTC","27129776332","Shipping Services","408-2814452-2689129","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","23 May 2026 7:22:32 am UTC"
"7 May 2026 8:32:43 am UTC","27084782842","Order","402-5081538-3100344","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","VELLORE","TAMIL NADU","632401","180.00","0","0","0","9.00","0","0","-0.90","0","0","0","-1.18","0","186.92","Released","20 May 2026 2:47:20 pm UTC"
"7 May 2026 8:32:49 am UTC","27084782842","Order","402-7702096-3678763","JR-EFPC-8UTV","Quacc Curved Fishing Forceps Piercing Pliers Stainless Steel Fishing Hemostats for Nurses, Fishing Enthusiasts, Crafts","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","UTTARPARA KOTRUNG","WEST BENGAL","712232","279.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","277.82","Released","19 May 2026 9:13:25 pm UTC"
"7 May 2026 8:32:55 am UTC","27129830212","Shipping Services","408-1358364-9204369","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","25 May 2026 10:47:09 pm UTC"
"7 May 2026 8:32:58 am UTC","27084782842","Shipping Services","403-9562065-7560322","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","20 May 2026 6:42:24 am UTC"
"7 May 2026 8:33:05 am UTC","27175509832","Order","408-7591851-9831527","EJ-1PB4-K2S2","Bosky Stainless Steel Medium Kidney Tray 8"" inch Basin Finest Emesis Bowl SS 304 Round Edges Surgical Utility 500 cc","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","SENAPATI","MANIPUR","795106","239.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","237.82","Released","3 Jun 2026 5:58:38 pm UTC"
"7 May 2026 8:33:07 am UTC","27084781812","Shipping Services","403-2533488-9705163","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","21 May 2026 4:23:30 am UTC"
"7 May 2026 8:33:14 am UTC","27084782842","Shipping Services","404-7407188-0348363","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-55.46","0","-55.46","Released","20 May 2026 4:44:12 am UTC"
"7 May 2026 8:33:23 am UTC","27084782842","Shipping Services","404-9674042-5877947","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","18 May 2026 5:12:49 am UTC"
"7 May 2026 8:33:33 am UTC","27084782842","Shipping Services","402-7702096-3678763","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","19 May 2026 6:11:11 pm UTC"
"7 May 2026 8:33:33 am UTC","27084782842","Shipping Services","402-5081538-3100344","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","20 May 2026 6:43:44 pm UTC"
"7 May 2026 8:33:35 am UTC","27175509832","Shipping Services","408-7591851-9831527","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","3 Jun 2026 5:50:39 pm UTC"
"7 May 2026 8:41:56 am UTC","27129830212","Order","406-7909686-4342700","8W-EPNF-IT9Y","QUIK-CHECK Plus Hb Hemoglobin Testing System Meter with 60 Strips | Accurate Digital Hemoglobin Monitor | Easy & Fast Testing Device","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","DOKMOKA","ASSAM","782441","4,799.00","0","0","0","0","0","0","0","0","-453.03","0","-89.68","0","4,256.29","Released","23 May 2026 6:47:40 am UTC"
"7 May 2026 8:42:22 am UTC","27084782842","Order","406-1179425-1916317","8W-EPNF-IT9Y","QUIK-CHECK Plus Hb Hemoglobin Testing System Meter with 60 Strips | Accurate Digital Hemoglobin Monitor | Easy & Fast Testing Device","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Thakurnagar","WEST BENGAL","743287","4,799.00","0","0","0","0","0","0","0","0","-453.03","0","-89.68","0","4,256.29","Released","19 May 2026 7:42:06 am UTC"
"7 May 2026 8:42:35 am UTC","27002933812","Service Fee","","","Cost of Advertising","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","-2,035.64","-366.42","-2,402.06","Released","7 May 2026 8:42:35 am UTC"
"7 May 2026 8:42:53 am UTC","27129830212","Shipping Services","406-7909686-4342700","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","23 May 2026 6:39:16 am UTC"
"7 May 2026 8:43:39 am UTC","27084782842","Shipping Services","406-1179425-1916317","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","19 May 2026 7:29:27 am UTC"
"7 May 2026 10:34:16 am UTC","27045218532","Refund","405-4142326-9700314","IG-ONBR-37FB","Vats Institution/Hospital Pack 1000 Glucometer Round Lancets,Blue | Dr. Morepen Supported Glucometer Round Blood Lancet 1000 Pcs Blue Colour","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","HYDERABAD","TELANGANA","500098","-449.00","0","0","17.96","0","0","0","0","0","-82.60","0","0","0","-513.64","Released","14 May 2026 5:59:06 am UTC"
"7 May 2026 2:59:31 pm UTC","27045218532","Shipping Services","404-7834302-6233140","","Amazon Easy Ship Weight Handling Fee Reversal","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","60.18","0","60.18","Released","10 May 2026 10:04:37 pm UTC"
"7 May 2026 3:15:29 pm UTC","27045218532","Refund","404-7834302-6233140","C6-UJZ5-4YH2","Vats Premium Flat Lancet Needle - Pack of 100 Pieces (White Color) for Accu-check Glucometer Lancet 100 Pcs (100)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BENGALURU","KARNATAKA","560035","-215.00","0","0","0","0","0","0","0","0","0","0","1.18","0","-213.82","Released","10 May 2026 7:46:27 pm UTC"
"8 May 2026 6:36:39 am UTC","27045331432","Transfer","","","To account ending with: 543","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-13,377.19","-13,377.19","Released","8 May 2026 6:36:39 am UTC"
"8 May 2026 6:40:01 am UTC","27045218532","Transfer","","","To account ending with: 543","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-11,779.99","-11,779.99","Released","8 May 2026 6:40:01 am UTC"
"8 May 2026 8:15:52 am UTC","27045218532","Refund","403-1546698-8668303","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Nagercoil","TAMIL NADU","629901","-177.14","0","0","0","-8.86","0","0","0.89","0","-53.10","0","0","0","-238.21","Released","12 May 2026 7:22:58 pm UTC"
"8 May 2026 8:28:34 am UTC","27084782842","Order","406-7168274-4751557","SW-BMGC-SV9V","Taylor Tomahawk Percussion Reflex Hammer For Neurological Examination (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","JAIPUR","RAJASTHAN","303702","187.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","185.82","Released","17 May 2026 7:03:06 am UTC"
"8 May 2026 8:28:35 am UTC","27129830212","Order","405-2326656-8385911","B4-0MXK-FSI8","Sphygmomanometer BP Monitor Arm Cuff Rubber Bladder, Double Tube, Black, Adult, Corded Electric","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","FARAKKA BARRAGE TOWNSHIP","WEST BENGAL","742202","229.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","227.82","Released","21 May 2026 8:33:51 pm UTC"
"8 May 2026 8:28:38 am UTC","27084782842","Order","407-5684633-4410710","JR-EFPC-8UTV","Quacc Curved Fishing Forceps Piercing Pliers Stainless Steel Fishing Hemostats for Nurses, Fishing Enthusiasts, Crafts","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","ARAMBOL","GOA","403524","279.00","0","0","-11.16","0","0","0","0","0","0","0","-1.18","0","266.66","Released","20 May 2026 8:25:02 pm UTC"
"8 May 2026 8:28:41 am UTC","27084781812","Order","405-2623172-3810716","6C-3XIL-OAL4","DIIOOMIEEU Blood Pressure Inflation Latex Bulb with Twist Air Release for","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MUMBAI","MAHARASHTRA","400081","188.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","186.82","Released","19 May 2026 5:24:45 pm UTC"
"8 May 2026 8:28:50 am UTC","27084781812","Order","403-9625856-3545933","I9-KBJW-DELU","VATS Dressing Surgical Scissors - 6 Inch Stainless Steel Medical Bandage Scissors for First Aid, Wound Care & Surgical Use - Sharp Edge with Safety Ti","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","NARSINGHAPUR","MADHYA PRADESH","487001","299.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","297.82","Released","21 May 2026 8:17:45 am UTC"
"8 May 2026 8:28:51 am UTC","27084782842","Order","408-2786024-2515549","OB-SK2N-S8TT","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BENGALURU","KARNATAKA","560011","187.00","0","0","-7.48","0","0","0","0","0","0","0","-1.18","0","178.34","Released","20 May 2026 7:03:21 am UTC"
"8 May 2026 8:28:56 am UTC","27084782842","Shipping Services","406-7168274-4751557","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","17 May 2026 7:05:14 am UTC"
"8 May 2026 8:29:00 am UTC","27129830212","Shipping Services","405-2326656-8385911","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","21 May 2026 3:17:06 pm UTC"
"8 May 2026 8:29:00 am UTC","27084781812","Shipping Services","405-2623172-3810716","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","19 May 2026 3:19:11 pm UTC"
"8 May 2026 8:29:01 am UTC","27084782842","Order","403-4465744-2743502","XG-NG2E-YVR1","VATS Hemostatic Artery Forceps - Premium Stainless Steel Hemostatic Clamps for Surgical, Dental & Veterinary Use","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","GURUGRAM","HARYANA","122004","329.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","303.04","Released","18 May 2026 7:25:25 am UTC"
"8 May 2026 8:29:06 am UTC","27084782842","Order","406-4244307-1113907","XG-NG2E-YVR1","VATS Hemostatic Artery Forceps - Premium Stainless Steel Hemostatic Clamps for Surgical, Dental & Veterinary Use","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Rae Bareli","UTTAR PRADESH","229001","329.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","303.04","Released","18 May 2026 7:26:17 am UTC"
"8 May 2026 8:29:09 am UTC","27084782842","Order","404-0620220-6413913","IG-ONBR-37FB","Vats Institution/Hospital Pack 1000 Glucometer Round Lancets,Blue | Dr. Morepen Supported Glucometer Round Blood Lancet 1000 Pcs Blue Colour","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","GHAZIABAD","UTTAR PRADESH","201014","449.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","423.04","Released","18 May 2026 6:34:26 am UTC"
"8 May 2026 8:29:13 am UTC","27084781812","Order","402-6171763-0491547","JR-EFPC-8UTV","Quacc Curved Fishing Forceps Piercing Pliers Stainless Steel Fishing Hemostats for Nurses, Fishing Enthusiasts, Crafts","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","hyderabad","TELANGANA","500034","279.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","277.82","Released","20 May 2026 7:50:42 pm UTC"
"8 May 2026 8:29:14 am UTC","27084782842","Order","407-3428678-3990717","OB-SK2N-S8TT","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","VISAKHAPATNAM","ANDHRA PRADESH","530026","187.00","0","0","-7.48","0","0","0","0","0","0","0","-1.18","0","178.34","Released","21 May 2026 6:55:28 am UTC"
"8 May 2026 8:29:25 am UTC","27084782842","Order","406-6803879-9921921","C6-UJZ5-4YH2","Vats Premium Flat Lancet Needle - Pack of 100 Pieces (White Color) for Accu-check Glucometer Lancet 100 Pcs (100)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BENGALURU","KARNATAKA","560043","210.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","208.82","Released","20 May 2026 6:46:38 am UTC"
"8 May 2026 8:29:28 am UTC","27084781812","Order","407-9072206-7776356","C6-UJZ5-4YH2","Vats Premium Flat Lancet Needle - Pack of 100 Pieces (White Color) for Accu-check Glucometer Lancet 100 Pcs (100)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","VASAI VIRAR","MAHARASHTRA","401303","210.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","208.82","Released","19 May 2026 6:28:56 am UTC"
"8 May 2026 8:29:28 am UTC","27084782842","Order","402-3877090-5780320","OB-SK2N-S8TT","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NEW DELHI","DELHI","110045","187.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","185.82","Released","18 May 2026 11:17:11 pm UTC"
"8 May 2026 8:29:29 am UTC","27084782842","Order","406-8822148-4912366","JR-EFPC-8UTV","Quacc Curved Fishing Forceps Piercing Pliers Stainless Steel Fishing Hemostats for Nurses, Fishing Enthusiasts, Crafts","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","MUMBAI","MAHARASHTRA","400059","279.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","277.82","Released","19 May 2026 9:27:49 am UTC"
"8 May 2026 8:29:35 am UTC","27084782842","Shipping Services","404-0620220-6413913","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","18 May 2026 6:09:16 am UTC"
"8 May 2026 8:29:40 am UTC","27084782842","Shipping Services","407-5684633-4410710","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","20 May 2026 4:37:34 pm UTC"
"8 May 2026 8:29:41 am UTC","27084782842","Shipping Services","403-4465744-2743502","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","18 May 2026 7:35:36 am UTC"
"8 May 2026 8:29:44 am UTC","27084781812","Shipping Services","402-6171763-0491547","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","20 May 2026 10:54:42 am UTC"
"8 May 2026 8:29:46 am UTC","27084781812","Shipping Services","403-9625856-3545933","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","21 May 2026 8:01:39 am UTC"
"8 May 2026 8:29:54 am UTC","27084782842","Shipping Services","408-2786024-2515549","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","20 May 2026 6:57:14 am UTC"
"8 May 2026 8:30:02 am UTC","27084782842","Shipping Services","406-4244307-1113907","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","18 May 2026 7:05:10 am UTC"
"8 May 2026 8:30:04 am UTC","27084782842","Shipping Services","402-3877090-5780320","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","18 May 2026 11:21:27 pm UTC"
"8 May 2026 8:30:11 am UTC","27084781812","Shipping Services","407-9072206-7776356","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","19 May 2026 6:28:17 am UTC"
"8 May 2026 8:30:17 am UTC","27084782842","Shipping Services","407-3428678-3990717","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","21 May 2026 6:37:15 am UTC"
"8 May 2026 8:30:23 am UTC","27084782842","Shipping Services","406-8822148-4912366","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","19 May 2026 8:59:27 pm UTC"
"8 May 2026 8:30:23 am UTC","27084782842","Shipping Services","406-6803879-9921921","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","20 May 2026 7:02:43 am UTC"
"8 May 2026 8:32:14 am UTC","27129830212","Order","405-9266950-0597129","3V-9OCO-HRU4","32Pc Hearing Aid Filters For Phonak For Cerustop Hearing Aid Ear-Wax Guard Filters Cleaning Tool, Keep Your Hearing Aids Dirt And Wax Free, Resound, W","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","COIMBATORE","TAMIL NADU","641026","1,949.00","0","0","0","0","0","0","0","0","-287.48","0","-89.68","0","1,571.84","Released","22 May 2026 6:39:34 am UTC"
